,Month,day,DayOfWeek,IsWeekend,PRCP,SNOW,SNWD,TMIN,TMAX,Crash Count,SHOOTING_INCIDENT_COUNT,FIRE_INCIDENT_COUNT,EVRNT_COUNT,Minutes Late Lag1,Minutes Late Lag7,Minutes Late Lag14,Delay Category
0,1,1,5,1,0.04,0.0,1.09,19.25,30.7,54.35,0.64,509.03,2.59,11.94,12.62,13.14,3rd Party Operations
1,1,2,5,1,0.06,0.4,0.21,23.6,36.51,70.66,0.25,430.45,3.75,8.86,8.57,9.1,Maintenance of Equipment
2,1,3,6,1,0.13,0.73,1.32,23.23,33.14,71.72,0.46,442.15,3.41,11.16,11.18,10.21,Weather & Environmental
3,1,4,0,0,0.31,3.9,0.78,20.0,33.34,54.32,0.14,503.61,2.9,13.6,13.55,13.77,Weather & Environmental
4,1,5,1,0,0.02,0.0,4.0,14.14,26.76,88.15,0.43,494.09,5.15,18.0,18.34,18.33,Weather & Environmental
5,1,6,2,0,0.05,0.34,1.27,22.67,33.66,73.87,0.52,370.09,4.22,9.59,10.16,11.03,Weather & Environmental
6,1,7,3,0,0.09,1.38,1.35,16.77,27.83,78.45,0.47,384.49,4.15,11.44,11.2,11.32,Weather & Environmental
7,1,8,4,0,0.03,0.01,1.81,19.05,31.92,88.64,0.15,549.97,3.64,11.9,11.98,12.01,Weather & Environmental
8,1,9,6,1,0.02,0.28,1.71,23.06,34.3,93.85,0.19,512.96,3.61,9.77,9.84,10.09,Engineering (Unscheduled)
9,1,10,6,1,0.06,0.0,1.66,27.29,41.51,88.4,0.23,450.09,3.46,9.95,9.92,9.83,3rd Party Operations
10,1,11,0,0,0.2,0.2,0.69,32.94,44.07,75.49,0.23,404.7,4.43,9.65,9.39,9.38,Engineering (Unscheduled)
11,1,12,1,0,0.38,1.74,2.56,34.22,46.83,60.24,0.33,404.6,3.32,9.97,10.47,10.37,Weather & Environmental
12,1,13,2,0,0.0,0.0,1.92,26.7,40.84,66.08,0.15,324.69,2.62,10.86,10.63,10.68,Weather & Environmental
13,1,14,3,0,0.07,0.02,1.47,30.32,42.53,65.91,0.39,329.27,3.59,11.24,10.83,10.34,3rd Party Operations
14,1,15,4,0,0.02,0.0,0.11,30.44,41.09,92.06,0.36,325.59,3.21,9.44,9.3,10.19,Engineering (Unscheduled)
15,1,16,5,1,0.16,0.05,0.05,27.58,40.96,74.72,0.15,334.25,4.15,10.43,10.76,10.01,Customers
16,1,17,6,1,0.22,0.17,0.0,27.39,38.36,78.5,0.14,359.09,3.87,10.47,10.26,10.02,3rd Party Operations
17,1,18,0,0,0.34,0.4,1.23,25.44,39.15,60.53,0.48,342.83,3.73,10.3,10.41,11.0,Weather & Environmental
18,1,19,1,0,0.02,0.01,0.34,27.04,39.0,70.84,0.09,350.18,4.07,10.39,10.61,9.91,3rd Party Operations
19,1,20,2,0,0.04,0.0,0.2,29.58,39.97,47.18,0.07,314.27,3.19,11.05,10.53,10.56,Customers
20,1,21,3,0,0.2,3.57,1.09,16.69,29.72,88.24,0.29,349.99,3.04,14.01,13.71,13.03,Weather & Environmental
21,1,22,4,0,0.01,0.13,3.24,17.36,30.36,81.12,0.32,382.34,3.32,10.9,11.54,13.03,Weather & Environmental
